condition,value
1,115.70574864958635
1,114.43548782006766
1,147.74753016805582
1,143.58916724927064
1,78.46591340239168
1,192.50908817841162
1,157.97415346744577
1,271.5243557047891
1,1122.1585946694058
1,132.72245890993483
1,298.6725392376349
1,301.28495340629945
1,109.43404575628433
1,166.87716268636976
1,140.77857561796898
1,707.2096157268593
1,157.10049280471958
1,108.25882461824004
1,159.3969122454084
1,567.0113487778101
1,430.52413314313554
1,142.489501359638
1,210.53312445720925
1,185.7866663168273
1,98.28547904175785
1,267.26525689226526
1,224.3902691096797
1,211.41416724352413
1,164.84207608764157
1,177.73704837949165
1,233.548854390884
1,159.9774538265229
1,116.90805442151748
1,132.3560292492843
1,256.21902635324125
1,111.69553387671732
1,158.6546080068381
1,165.187800229112
1,150.46462285338225
1,234.05291106477821
1,114.94033502490974
1,172.69595544898374
1,145.1499517618287
1,139.04420985072932
1,537.7729483543103
1,114.99628831596279
1,106.87257862611996
1,131.15499360721748
1,229.96779731318998
1,150.49670551042124
1,161.23430208998184
1,141.53376925377964
1,166.93811635413266
1,116.98902351032922
1,198.23984116250926
1,171.77342554216344
1,121.31455425021876
1,150.45112963955205
1,177.5199336519909
1,454.09106014237733
1,214.96677987265707
1,246.23575367994334
1,196.18030383134789
1,192.31545190472778
1,142.505303566162
1,116.28200597565865
1,113.0368308439754
1,166.40868815370308
1,145.797448084236
1,231.54533056025446
1,169.65797354970772
1,135.2349696212403
1,114.84856538781962
1,128.3036321893994
1,161.69665796093105
1,132.59062027195094
1,168.77349168646134
1,136.5124046370024
1,144.54776734694866
1,123.6398101551453
1,238.95157019411795
1,235.3435425779705
1,157.22193566670538
1,97.22563354322322
1,175.02835246516938
1,114.90366742815213
1,118.76177624910756
1,186.71535525160039
1,132.53209445180124
1,95.86173855838902
1,231.01347160838378
1,81.91222676380355
1,171.2634274378731
1,191.38982415500067
1,126.75524640053379
1,165.8480093906585
1,165.63434157250205
1,192.5114799837001
1,167.50695067781479
1,139.59970194016228
1,186.6057335730843
1,181.3004480593248
1,117.43180022615732
1,104.56439916021462
1,154.48073329945936
1,138.58854096341128
1,116.00290360369465
1,151.56016424995892
1,106.69783508649239
1,154.51738091336844
1,126.94677487162593
1,188.53639563610832
1,272.0871135134295
1,118.0378326878777
1,795.060669944162
1,182.41556928909907
1,145.83144141974523
1,132.5007633425785
1,220.0438680516107
1,89.894390771305
1,126.3683812524956
1,103.62609072415908
1,210.3616852039445
1,141.50345614510994
1,130.16881697540475
1,328.9846583478589
1,146.56817565293454
1,132.82901133523958
1,459.7160426301878
1,100.27273713516477
1,167.766924281609
1,144.88773479257827
1,296.1494531594409
1,116.09482812858558
1,114.92204620925992
1,124.79174827786642
1,122.4867188709024
1,205.35958006141084
1,220.2550934801651
1,142.70463600694217
1,135.67548027737428
1,136.6933768629128
1,151.0044217446377
1,152.05253078716387
1,159.57413283977488
1,123.14102763903448
1,120.09413610560605
1,200.19050054627215
1,129.39156050408846
1,160.09404499972368
1,146.3143466653227
1,116.80871145201927
1,172.04661840930262
